event,dates,city,type,why_go,who_from_hitlist,ticket_cost,priority,confidence,source
DMEXCO,2026-09-23 to 2026-09-24,Cologne,ad-tech,"Europe's biggest digital marketing event; Google, Meta, TikTok/ByteDance, agencies, consumer brands exhibit","Google, Meta, TikTok/ByteDance BD teams; agency networks; CPG brand marketers",Tiered via dmexco.com/tickets,1,HIGH,https://dmexco.com/plan-your-visit-2026/
World Summit AI,2026-10-07 to 2026-10-08,Amsterdam,general tech,"10th edition on home turf; global AI ecosystem in CF's city","Model providers, Google Cloud, AI startup BD",Paid tiers via worldsummit.ai/tickets,1,HIGH,https://worldsummit.ai/
NVIDIA GTC Berlin,2026-10-20 to 2026-10-22,Berlin,provider event,"Europe's key AI provider gathering this autumn; model and inference partners","NVIDIA ecosystem, model providers, inference platforms (fal-type partners)",Paid via nvidia.com,1,HIGH,https://www.nvidia.com/en-eu/gtc/
Web Summit,2026-11-09 to 2026-11-12,Lisbon,general tech,"70k+ attendees; every major AI provider and ad platform sends BD","Google, TikTok, Meta, AI providers, brand innovation teams",Paid tiers via websummit.com/tickets,1,HIGH,https://websummit.com/web-summit-2026/
Adobe MAX,2026-11-10 to 2026-11-12 (virtual free 10-11 Nov),Miami Beach,creator/provider,"The creativity conference; Adobe partner-model ecosystem, creator tracks; note new Miami Beach location","Adobe partnerships team, creative tool ecosystem, creator educators",Paid; virtual free,1,HIGH,https://max.adobe.com/
CES 2027,2027-01-06 to 2027-01-09,Las Vegas,general tech,"Consumer brands plus AI platform BD teams; strongest brand-pipeline week of the year","CPG and consumer electronics brand teams; Google, ByteDance",Paid via ces.tech,1,HIGH,https://www.ces.tech/plan-your-visit/dates-and-hours/
Creativeworld 2027,2027-01-29 to 2027-02-01,Frankfurt,craft trade,"World's biggest hobby and craft supplies fair; CF audience's supply chain","Craft hardware and supplies brands (Cricut ecosystem, vinyl, paper, DIY), craft retail buyers",Trade day tickets via Messe Frankfurt,1,HIGH,https://creativeworld.messefrankfurt.com/frankfurt/en.html
SXSW 2027,2027-03-15 to 2027-03-21,Austin,creator/general tech,"Creator economy, brand and AI creative tools crossover flagship","Brand innovation teams, creator tool partners, entertainment IP",Paid badges,1,HIGH,https://sxsw.com/2026/south-by-southwest-2027-dates-announced/
IBC2026,2026-09-11 to 2026-09-14,Amsterdam,media tech,"1300+ exhibitors in video and media tech incl. AI video vendors; walkable from CF HQ","Adobe, NVIDIA, cloud AI vendors",Expo passes typically free or low,2,HIGH,https://show.ibc.org/
Meta Connect,2026-09-23 to 2026-09-24,Menlo Park + livestream,provider event,"Meta AI and creator announcements; livestream (in-person invite-heavy)","Meta partnerships (virtual only)",Livestream free,2,HIGH,https://www.meta.com/connect/
OpenAI DevDay,2026-09-29,San Francisco + livestream,provider event,"Flagship OpenAI dev event; watch stream; monitor EU DevDay Exchange legs","OpenAI DevRel and partnerships (virtual)",Application-based; stream free,2,HIGH,https://openai.com/index/devday-2026/
VidSummit,2026-09-29 to 2026-10-01,Irving/Dallas TX,creator,"Most business-focused YouTube creator conference; craft educator creators","Craft/DIY YouTube educators, creator tooling partners",Paid tiers via vidsummit.com,2,MEDIUM,https://vidsummit.com/
TechCrunch Disrupt,2026-10-13 to 2026-10-15,San Francisco,general tech,"AI-centric edition; US AI startups, VCs, platform BD","US AI model startups, platform BD",Paid,2,HIGH,https://techcrunch.com/events/techcrunch-disrupt/
Dutch Design Week,2026-10-17 to 2026-10-25,Eindhoven,design,"Northern Europe's largest design event; designer community, brand design teams","Design community, Dutch brand teams",Public day pass via ddw.nl,2,HIGH,https://site.ddw.nl/
Emerce EDAY,2026-11-05,Amsterdam,e-commerce,"Leading Dutch digital business one-dayer; NL platform and brand decision makers","Dutch e-commerce platforms and brands",Paid via emerceeday.nl/tickets,2,HIGH,https://emerceeday.nl/
Slush,2026-11-18 to 2026-11-19 (Day 0 17 Nov),Helsinki,startup,"Europe's founder flagship; AI startup ecosystem","European AI startups, VC intros to model providers",Paid via slush.org,2,HIGH,https://slush.org/
Ambiente + Christmasworld 2027,2027-01-29 to 2027-02-02,Frankfurt,consumer goods,"Parallel to Creativeworld same campus; consumer goods and stationery brands (ex-Paperworld)","Stationery and consumer goods brands (Faber-Castell, Staedtler tier)",Trade tickets via Messe Frankfurt,2,HIGH,https://consumergoods.messefrankfurt.com/frankfurt/en.html
MWC Barcelona 2027,2027-03-01 to 2027-03-04,Barcelona,general tech,"Google, Alibaba, ByteDance/TikTok platform BD at scale; meet Asian tech partners in Europe","Alibaba Cloud, ByteDance, Google BD teams",Paid via mwcbarcelona.com,2,HIGH,https://www.mwcbarcelona.com/
Craftcation 2027,2027-03-31 to 2027-04-04,Ventura CA,craft,"US indie craft business community; CF's exact end-user persona","Maker-business educators, Etsy seller community leaders",Paid via craftcationconference.com,2,HIGH,https://www.craftcationconference.com/craftcation-conference/register/
Data Expo,2026-09-09 to 2026-09-10,Utrecht,data/AI,"Dutch data and AI ecosystem; free or low trade entry, local","Google Cloud partners, Dutch AI ecosystem",Free or low trade entry,3,HIGH,https://www.data-expo.nl/en/
Etsy Up 2026,2026-09-24,Virtual,e-commerce,"Etsy's official seller event; roadmap and seller-tool news; free, one hour","Etsy seller ecosystem",Free,3,HIGH,https://community.etsy.com/events/details/etsy-etsy-seller-events-presents-etsy-up-2026/
AI & Big Data Expo Europe,2026-10-19 to 2026-10-20 (some aggregators 20-21; confirm),Amsterdam RAI,AI expo,"Enterprise AI expo; free expo pass, local networking","Cloud and AI vendor stands",Free expo pass; paid conference,3,MEDIUM,https://www.eventbrite.co.uk/e/ai-big-data-expo-europe-2026-tickets-1760890814829
Amsterdam Dance Event,2026-10-21 to 2026-10-25,Amsterdam,creator/culture,"Music creator economy and city-wide brand activations; only if audio partnerships open","Music-tech and brand activation teams",Public tickets,3,HIGH,https://www.amsterdam-dance-event.nl/en/news/ade25-pressrelease-5/2750267/
NVIDIA GTC Washington DC,2026-11-30 to 2026-12-03,Washington DC,provider event,"US GTC edition; only if US trip already planned (Berlin covers same partners)","NVIDIA ecosystem",Paid; early-bird ends 15 Sep,3,HIGH,https://www.nvidia.com/gtc/dc/
h+h cologne 2027,2027-04-02 to 2027-04-04,Cologne,craft trade,"Creative handicraft trade fair with dedicated Creator Zone","Craft brands and craft creators",Trade tickets,2,HIGH,https://www.hh-cologne.com/
Webwinkel Vakdagen 2027,2027-04-07 to 2027-04-08,Utrecht,e-commerce,"Number 1 Benelux digital commerce event","Benelux e-commerce platforms and sellers",Trade registration,3,MEDIUM,https://www.webwinkelvakdagen.nl/en/
Creativation by NAMTA 2027,2027-05-15 to 2027-05-19 (trade show 17-19),Grand Rapids MI,craft trade,"Art materials trade show; successor context to CHA/Creativation","Art supplies brands (Crayola, Faber-Castell tier)",Trade registration,3,MEDIUM,https://namta.memberclicks.net/2027_booth_application
VivaTech 2027,2027-06-16 to 2027-06-19,Paris,general tech,"European tech flagship; brand-tech crossover","European brand and AI ecosystem",Paid,3,MEDIUM,https://vivatechnology.com/
Cannes Lions 2027,2027-06-21 to 2027-06-25,Cannes,advertising,"Global brand marketing decision makers; where Netflix-scale brand deals start","CMO-level brand teams, TikTok/Meta/Google beach activations",Paid delegate passes,2,HIGH,https://www.canneslions.com/festival/register-your-interest
VidCon Anaheim 2027,2027-07-08 to 2027-07-10,Anaheim CA,creator,"Creator economy flagship; craft and DIY creator community","Creator networks, platform creator teams",Paid,3,MEDIUM,https://www.vidcon.com/anaheim/
