segment,target,why_them,angle_one_line,contact_name,contact_title,public_route,priority,confidence,source_note
kids_brands,Crayola,Runs drawing-to-emotion campaigns (Campaign for Creativity; 2025 global open call for user art),Color it animate it hug it: Crayola drawing to CF animated video plus plush/craft pattern,Warren Schorr,SVP Business Development Global Licensing & Experiences,crayola.com/news; licensing via corporate site,1,HIGH,License Global / Licensing Expo accessed 2026-08-31
kids_brands,IKEA (incl. IKEA NL),Invented the category with SAGOSKATT (kids drawings to real plush since 2014; 60-87K entries/yr; 100% to charity); Inter IKEA Systems BV is Dutch,SAGOSKATT animated: every entrant's drawing becomes an AI short plus printable pattern not just 5 winners,,Range manager Children's IKEA (IKEA of Sweden); Country Marketing Manager IKEA NL,ikea.com/global/en/newsroom; newsroom.inter.ikea.com,1,HIGH (program) / LOW (2025-26 status unconfirmed),IKEA newsroom + It's Nice That; confirm current edition with IKEA NL
kids_brands,BBC Studios (Bluey),Number 1 preschool property globally; licensing machine actively seeking brand partnerships,Draw your own Bluey adventure: kids drawings animated with licensed pack,Suzy Raia (reports to Nicki Sheard),EVP Global Consumer Products (CEO Brands & Licensing),bbcstudiospressroom.com; bbcstudios.com,1,HIGH,BBC Studios pressroom accessed 2026-08-31
kids_brands,LEGO / DUPLO,Fan-design culture (LEGO Ideas) = cultural fit for user-generated design; IP-strict so licensed pack essential,From crayon to brick: drawing to AI 3D model to buildable mosaic plus animated short,,VP Partnerships / Head of Brand Collaborations,lego.com/aboutus/contact-us,1,MEDIUM,research_kids_pets.md
kids_brands,Ravensburger,EU family brand with strong licensing arm; puzzle is a natural drawing-to-product output,Your child's drawing now a real jigsaw puzzle plus animated reveal,Sarah Gstrein (verify title),Global Head of Licensing,ravensburger-gruppe.de press,1,MEDIUM,License Global index; re-verify before outreach
kids_brands,HEMA (NL),Amsterdam HQ; positions itself as the children's store of the Netherlands; full knutselen category plus photo printing,Knutsel het beleef het: in-store drawing weeks; CF animates; HEMA prints mug/tee,,Category manager Toys/Hobby or Head of Brand Marketing,hema.nl/speelgoed-hobby/knutselen; hema.com,1,MEDIUM (fit HIGH contact LOW),hema.nl pages accessed 2026-08-31
kids_brands,Hasbro / Play-Doh,Tactile kid creativity; large brand-partnership org,Squish it sketch it see it move: Play-Doh sculpture or drawing to animated video,,SVP Global Licensed Consumer Products,corporate.hasbro.com/partner-with-us,2,MEDIUM,research_kids_pets.md
kids_brands,Mattel / Fisher-Price,Actively courts brand collabs (Barbie playbook); early-childhood trust,Little artists real toys contest; winning drawing prototyped,,Head of Consumer Products / Brand Partnerships,corporate.mattel.com/partnerships,2,MEDIUM,research_kids_pets.md
kids_brands,Melissa & Doug (Spin Master),Screen-free creative play leader; Spin Master has digital ambitions,Analog play magic payoff: M&D supplies plus CF animation of the finished drawing,,Brand/Marketing lead M&D at Spin Master,spinmaster.com/contact,2,MEDIUM,research_kids_pets.md
kids_brands,KiwiCo,STEAM craft-subscription leader; every crate ends in a made object,Crate insert QR: now animate what you built,Sandra Oh Lin,Founder and CEO (re-verify current title),kiwico.com about page,2,MEDIUM,research_kids_pets.md
kids_brands,Osmo (Play Osmo),Core product digitises kids' physical drawings; closest tech-philosophy match; parent company distressed,Osmo capture to CF Studio animation co-marketing,,Head of Marketing/Partnerships,playosmo.com,3,MEDIUM (fit HIGH stability LOW),research_kids_pets.md
kids_brands,Sesame Workshop,Nonprofit early-childhood creativity mission; partnerships arm seeks revenue partners,Draw your monster friend: monster drawings animated with charity overlay,Kendall Hubert (also Gabriela Arenas SVP Licensing),EVP Revenue & Philanthropy,sesameworkshop.org press room,2,HIGH (names),Sesame Workshop press room accessed 2026-08-31
kids_brands,Nickelodeon (Paramount),Kids-media scale with long UGC history,Your drawing on Nick: animated kid-art interstitials,,EVP Consumer Products & Experiences,paramountpressexpress.com,3,LOW-MEDIUM,research_kids_pets.md
kids_brands,Disney Junior,Preschool trust plus animation heritage; no existing drawing program found (white space),Imagination animated branded segment,,VP Brand Partnerships Disney EMEA,press.disney.co.uk,3,LOW,research_kids_pets.md
kids_brands,Faber-Castell,260-year art-supply heritage; EU family-owned,The oldest pencil company meets the newest canvas,,Head of Global Marketing,faber-castell.com/corporate,2,MEDIUM,research_kids_pets.md
kids_brands,Staedtler,Noris pencils are a European school staple,School-targeted draw it watch it move in DACH/Benelux,,Marketing lead STAEDTLER Mars GmbH,staedtler.com press,3,MEDIUM,research_kids_pets.md
kids_brands,Djeco,French premium kids art-kit brand; design-led aesthetic matches CF,Djeco art kit plus CF animation as the finished keepsake,,Export/Partnerships manager,djeco.com contact,3,MEDIUM,research_kids_pets.md
kids_brands,H&M Kids,Fast-fashion kids scale; print-on-garment is a natural output,Wear your kid's masterpiece: drawing to printed tee capsule,,Head of Collaborations,about.hm.com/media,3,LOW-MEDIUM,research_kids_pets.md
kids_brands,Intertoys (NL),Leading Dutch toy retailer; national reach for an in-store contest,Dutch SAGOSKATT-style contest with charity proceeds,,Marketing manager,intertoys.nl pers,3,LOW,research_kids_pets.md
kids_brands,NEMO Science Museum Amsterdam,Local family institution; launch-activation venue,Live drawing-comes-alive exhibit powered by Studio,,Head of Partnerships/Development,nemosciencemuseum.nl,2,MEDIUM,research_kids_pets.md
pet_brands,Chewy,Owns the pet-photo-to-art playbook: 1000+ free hand-painted pet portraits per week since ~2013,Scale portraits infinitely: photo to crochet pattern/plush/ornament as loyalty surprise,,CMO / VP Brand Marketing,investor.chewy.com; press page,1,HIGH (precedent) / LOW (contact),Chewy investor PR + AP + Fortune accessed 2026-08-31
pet_brands,BARK / BarkBox,Subscription box built on humour and personalisation,Limited Your Dog But Plush box: subscriber's dog becomes the month's toy design,,VP Brand/Partnerships,bark.co; investors.bark.co,2,MEDIUM,research_kids_pets.md
pet_brands,Purina (Nestle),Biggest pet-food marketer; EU HQ reachable,Pack code unlocks a free AI crochet pattern of your pet,,Head of Digital/Brand Partnerships Purina Europe,purina.eu press,2,MEDIUM,research_kids_pets.md
pet_brands,Mars Petcare / Pedigree,Adoption-focused campaigns show appetite for creative tech,Shelter pets become plush patterns; proceeds to shelters,,Global Brand VP Pedigree,mars.com/news-and-stories,2,MEDIUM,research_kids_pets.md
pet_brands,Royal Canin (Mars),Premium breed-specific positioning; EU HQ,Breed-accurate crochet portrait as vet-clinic/loyalty gift,,Global CMO,royalcanin.com press,3,LOW-MEDIUM,research_kids_pets.md
pet_brands,Petco,US pet retail plus services; seasonal in-store photo moments,In-store Pet But Plush kiosks: photo to ornament pickup,,Chief Marketing Officer,about.petco.com/newsroom,3,LOW-MEDIUM,research_kids_pets.md
pet_brands,Tractive,EU pet-tech (GPS); digital-native audience overlap,Track them by day plush them forever cross-promo,,Head of Marketing/Partnerships,tractive.com press,3,LOW-MEDIUM,research_kids_pets.md
pet_brands,Pets Place (NL),Dutch pet-retail chain for a local pilot,NL photo-to-ornament holiday pilot,,Marketing manager,petsplace.nl,3,LOW,research_kids_pets.md
contest_targets,Fanta Haunted Universe (Coca-Cola),Launched 26 Aug 2026 in 50 markets with ORIGINAL horror characters Fanta owns; wants Halloween to be Fanta's Christmas,Make your own 30-sec Haunted Universe short from the official character pack (exclude Ghost Face: third-party IP),,Global Fanta Brand Director / Sr Manager Digital,coca-colacompany.com/media-center,1,HIGH,Coca-Cola media center accessed 2026-08-31
contest_targets,M&M's Flavor Vote launch (Mars),Fan-voted flavour (first in 7 years) ships fall 2026: launch inside the window,Fans voted it into existence; now fans make its launch film (full Mars spokescandy asset pack required),,Brand Experience / Digital Marketing lead Mars Snacking,prnewswire.com Flavor Vote release,1,HIGH,PR Newswire accessed 2026-08-31
contest_targets,Eurovision 2027 run-up (EBU),National finals Jan-Mar 2027 are in window; host Burgas Bulgaria 11/13/15 May; archetypal fan-video community,Celebrate your country's entry: AI fan video with official heart-logo pack (no artist likenesses; sync rights complex),,EBU Eurovision brand & digital team; host broadcaster BNT,ebu.ch Eurovision 2027 announcement,1,HIGH (event) / MEDIUM (access),EBU accessed 2026-08-31
contest_targets,Dune: Part Three (WB),18 Dec 2026 head-to-head with Avengers (Dunesday); better access odds than Marvel,Dunesday fan hype films from official sigil/typography pack; hard no on AI Chalamet/Zendaya,,WB Pictures international digital marketing,Wikipedia/trades; WB press,2,HIGH (date) / LOW (access),research_contest_targets.md
contest_targets,Percy Jackson S3 (Disney+),20 Nov 2026 weekly release needs 8 weeks of sustained buzz,Camp Half-Blood cabin-pride videos from licensed emblem pack (emblems and environments only),,Disney+ EMEA partnerships,Deadline; Disney press,2,HIGH (date) / LOW (access),research_contest_targets.md
contest_targets,Netflix Christmas 2026 slate,In a Holidaze 2 Dec; Cliff Booth 23 Dec; cheap awareness for seasonal films,AI-assisted holiday fan trailers from official key-art packs; absolutely no cast recreations,,Netflix Consumer Products / Tudum audience marketing,whats-on-netflix.com slate; Netflix Tudum,2,HIGH (dates) / MEDIUM (appetite),research_contest_targets.md
contest_targets,GTA VI (Rockstar/Take-Two),19 Nov 2026: biggest launch of the window; Rockstar controls fan content tightly,Vice City countdown videos from licensed logo/art pack ONLY with direct Take-Two licence,,Take-Two / Rockstar partnerships,Rockstar fan-content policy page,2,HIGH (date) / LOW (access),research_contest_targets.md
contest_targets,Call of Duty MW4 (Activision),23 Oct 2026; creator-economy-native publisher,Squad hype-reel contest with licensed emblem pack; Microsoft licence required,,Activision partnerships / Xbox creator programs,gamerant fall slate; Activision press,2,HIGH (date) / MEDIUM (access),research_contest_targets.md
contest_targets,Pringles next limited flavour (Kellanova),Multiple LTOs per year; Fallout 76 competition precedent; Pop Dog Buns TikTok virality,Make the unofficial-official launch ad for the new flavour (Mr P pack; avoid collab flavours: third-party IP),,Pringles Sr Brand Manager,pringles.com whats-new,2,MEDIUM,research_contest_targets.md
contest_targets,Oreo (Mondelez),Steady limited editions and celebrity collabs run as fan-community events,Launch-week fan-video contest per limited edition; twist-on-it ritual is already performance content,,Oreo brand digital team,foodbev/timeout collab coverage,3,MEDIUM,research_contest_targets.md
contest_targets,KitKat (Nestle),2026 Break Mode and Little Breaks campaigns; inherently filmable prompt,Film your break: 15-sec AI break-films from logo/pack kit (Nestle/Hershey dual-licensor complexity),,KitKat global brand team (agency VML UK),adsoftheworld Little Breaks,3,MEDIUM,research_contest_targets.md
contest_targets,Red Bull,Most contest-native CPG brand (Illume; Flugtag),AI-animated impossible-stunt shorts as an Illume-style category; no athlete likenesses without consent,,Red Bull Media House / Illume team,redbull.com; Illume site,3,MEDIUM,research_contest_targets.md
agencies,DEPT (Amsterdam),Dedicated Creative Automation practice; launched open Deptify AI orchestration layer at Cannes 2026: built to plug external tools in; local,Studio as a plug-in engine for their SMB/e-commerce creative automation work,,Creative Automation practice lead,deptagency.com/service/creative/dept-creative-automation,1,HIGH,deptagency + Adweek accessed 2026-08-31
agencies,Fingerspitz (NL),Best Agency of the Netherlands 2024/25; publicly the practical-AI partner; serves SMB/mid-market,Tool partnership plus co-marketing to Dutch SMB clients,,Managing director / partnerships,fingerspitz.nl,1,HIGH,fingerspitz.nl accessed 2026-08-31
agencies,Happy Horizon (NL),750+ person buy-and-build group; one deal serves every hub; AdBirds arm runs multi-market rollouts,Group-wide creative tooling deal with localised-creative use case,,Group commercial lead,happyhorizon.com,1,HIGH,happyhorizon + Silicon Canals
agencies,Team5pm (Amsterdam),The YouTube agency (100+ experts); acquired by SAMY Alliance 2025: one deal could scale across a European network,Video-variant production partnership for YouTube/social formats,,Managing director,team5pm.com,1,HIGH,team5pm + Bridgepoint release
agencies,Yellowgrape (Amsterdam),Self-described AI-powered e-commerce agency for EU DTC; Shopify plus growth marketing,Studio as the creative layer for their Shopify DTC clients,,Managing partner,yellowgrape.io,2,HIGH,yellowgrape.io accessed 2026-08-31
agencies,Common Thread Collective (US),Ideal-client language literally requires brands to value creative volume; treats creative as the primary lever on Meta,High-volume ad-creative supply partnership plus ADmission education channel,,Partnerships (via site),commonthreadco.com,2,HIGH,commonthreadco + businesswire
agencies,TubeScience (US),Hundreds of videos per day; the highest-volume creative operation alive; pay-for-performance,Generation partner inside their throughput model (expect build-vs-buy pushback),,BD lead,tubescience.com,2,HIGH,tubescience.com accessed 2026-08-31
agencies,Soar With Us (UK),Full-stack DTC growth agency; official Meta/TikTok partner; sells done-for-you ad creative,Creative-volume tooling for 70+ client accounts,,Co-founder / head of creative,soarwithus.co,2,HIGH,soarwithus + Insider Media
agencies,Pilothouse (CA),In-house buying plus creative under one roof; runs the DTC Podcast media ecosystem,Tool partnership plus distribution via their DTC media reach,,Partnerships,pilothouse.co,2,HIGH,pilothouse.co accessed 2026-08-31
agencies,Kaya (YC),120+ startups on a low-fee model that only works with cheap fast creative; builds own martech,Integration/reseller partner for startup ad creative,,Founders,usekaya.com,2,MEDIUM-HIGH,usekaya + YC listing
agencies,dentsu Benelux / iProspect NL,Holdco scale; Merkle Amsterdam runs AI hackathons; entry point is dentsu Benelux not Merkle alone,Co-host an AI creative hackathon as the activation-style entry,,dentsu Benelux growth lead,dentsu.com/nl,3,MEDIUM,dentsu + Digiday restructure coverage
agencies,Structured Agency (US),Paid-social Meta specialist for DTC health/beauty/lifestyle,Variant-refresh tooling for fatigue-heavy categories,,Founder,via listicles (verify site),3,MEDIUM,secondary listicles only; verify
agencies,Right Side Up (US),Embedded growth marketers across dozens of consumer clients: multiplier/referrer model,Recommend-across-engagements tool partnership,,Partnerships,rightsideup (verify site),3,MEDIUM,secondary sources only; verify
dtc_operators,Razor Group (Berlin),Merged with Infinite Commerce; 10000+ SKUs with ~270 staff: extreme automated-creative need; unified tech platform,Marketplace listing images and ad creatives at SKU scale via Studio/API,,Platform/advertising tech lead,PRNewswire merger release,1,HIGH,PRNewswire accessed 2026-08-31
dtc_operators,Loop Earplugs (Antwerp),Publicly documented 1800+ simultaneous Meta ads; ~35% of revenue into ads; the EU creative-volume archetype,Lighthouse case study / co-marketing target even if they build in-house,,Growth/creative lead,Forbes profile; loop careers,1,HIGH (scale) / MEDIUM (figures),Forbes + vendor blogs
dtc_operators,Berlin Brands Group,Dozens of own brands across EU marketplaces; HPS-acquired; multi-language listing and ad demand,Multi-brand creative tooling deal (treat aggregator revenue claims as unverified),,Brand marketing lead,pitchbook profile; bbg site,2,MEDIUM-HIGH,research_agencies_events.md
dtc_operators,SNOCKS (Mannheim),German DTC poster child; TikTok For Business case study; founders are loud DACH voices,Partnership doubles as distribution to the DACH DTC community,,Founders (Johannes Kliesch),TikTok case study; snocks.com,2,HIGH,TikTok for Business accessed 2026-08-31
dtc_operators,waterdrop (Vienna),Multi-market DTC expansion needs localised creative across languages,Localised-creative volume partner for EU/US expansion,,Growth lead,modernretail + OMR coverage,3,MEDIUM-HIGH,research_agencies_events.md
dtc_operators,SellerX (Berlin),Post-restructuring cost pressure motivates cheap AI creative; financially distressed,Opportunistic only; low priority,,Marketing lead,Sifted coverage,3,HIGH (status),Sifted accessed 2026-08-31
platform_programs,TikTok One creative-partner signup,TTCX is migrating into TikTok One Partner Exchange; this is the concrete on-ramp,Sign up as creative partner then apply into Partner Exchange,,Programmatic,ads.tiktok.com TikTok One partner signup article,1,HIGH,TikTok help articles accessed 2026-08-31
platform_programs,TikTok Marketing Partners (Creative badge),Creative badge covers platforms specialising in TikTok creative production,Badge plus directory listing; 2-4 week to months review,,Programmatic,ads.tiktok.com partner program,2,MEDIUM-HIGH,TikTok + secondary guides
platform_programs,Meta Business Partners (Creative track),Creative track: high-quality ad creative incl. video and asset production; Member then badged Partner,Apply inside Business Manager; enter as Member earn badge,,Programmatic,facebook.com/business/marketing-partners,2,HIGH (program) / MEDIUM (process),research_agencies_events.md
platform_programs,TikTok Creative Exchange (legacy),Still accessible for a limited time during Partner Exchange migration,Legacy route; use TikTok One instead,,Programmatic,ads.tiktok.com/creativeexchange,3,HIGH,TikTok help accessed 2026-08-31
ai_events,AI Tinkerers Amsterdam,Monthly meetup in a 251-city network; sponsor a single meetup for low thousands; bookable now,The cheap rehearsal: sponsor plus live Studio demo to Amsterdam AI builders,,Organisers via sponsor page,amsterdam.aitinkerers.org/sponsors,1,HIGH (route),research_agencies_events.md
ai_events,World Summit AI Amsterdam,7-8 Oct 2026; 10th anniversary edition on home turf; commercial AND community-partner routes exist,Pitch CF as the creative layer: visuals made in Studio plus live AI ad studio booth (every demo a tracked sign-up),,Via partners pack / form,worldsummit.ai/commercial-partners; worldsummit.ai/form-partners,1,HIGH,worldsummit.ai accessed 2026-08-31
ai_events,AI & Big Data Expo Europe,19-20 Oct 2026 RAI Amsterdam; ~8000 visitors; zero travel,Booth plus demo-theatre slot generating attendee creatives live,,enquiries@techexevent.com,ai-expo.net/europe/get_involved,2,HIGH,ai-expo.net accessed 2026-08-31
ai_events,Slush Helsinki,18-19 Nov 2026; 5000+ founders who all need launch creatives; partner side-event wing,Creative-AI side event or booth via partners@slush.org,,partners@slush.org,slush.org/faq,2,HIGH,slush.org accessed 2026-08-31
ai_events,Web Summit Lisbon,9-12 Nov 2026; partner pavilions priced individually; Adobe/Meta among partners,Content-creation lounge where attendees generate their startup's ad creatives,,Partner team via site,websummit.com/partners,2,HIGH,websummit.com accessed 2026-08-31
ai_events,NVIDIA GTC Berlin,20-22 Oct 2026; sponsorship invitation-only with infra-heavy sponsor mix,Attend and network; express interest via GTC-Sponsors@nvidia.com; do not buy,,GTC-Sponsors@nvidia.com,nvidia.com/en-eu/gtc/sponsors,3,HIGH,nvidia.com accessed 2026-08-31
ai_events,SXSW Austin,15-21 Mar 2027; brand-activation capital but six-figure territory,CF house/activation generating personalised video creatives; only with real budget,,sales@sxsw.com,sxsw.com/sponsors,3,HIGH (route) / LOW (cost),research_agencies_events.md
