segment,company,why_them,angle_one_line,contact_name,contact_title,location,public_profile_url,public_contact_route,email_pattern,email_confidence,priority,sources,notes
1_providers,Kling AI (Kuaishou),CEO says CF is in live talks and a new model is imminent; Kling runs affiliate (30%) and Creative Partner programs plus $1M NextGen fund,Day-one co-launch in Studio wrapped in a maker challenge (Concept 1),Tony Pu,Community & Partnerships @ Kling AI (ex-CapCut),Intl (unstated),https://www.linkedin.com/in/tpu0817/,Enterprise/API form at klingai.com/global/dev; affiliate page kling.ai/explore/kling_affiliate_program,support@kling.ai (support only),MEDIUM,1,"kling.ai/explore/kling_creative_partner_program; kling.ai/nextgen; LinkedIn headline via search 2026-08-28","Name from public LinkedIn headline only; verify before outreach. No partnerships email public."
1_providers,Google DeepMind (Gemini API / AI Studio),CEO says CF has unusual leverage; Google PMs text CF pre-launch; a dedicated Strategic Partner Program Manager role exists for Gemini API,Deepen from ad-hoc texts to formal launch-partner status with case study placement,Logan Kilpatrick,Product Lead Google AI Studio & Gemini API,US,https://blog.google/authors/logan-kilpatrick/,Via existing CF-Google relationship; AI Studio partner contact; showcase case studies (ai.google.dev/showcase),,HIGH,1,"google.com/about/careers job 72214901564547782; ai.google.dev/showcase/fal accessed 2026-08-28","Most public partner-facing figure; very active on X (@OfficialLoganK). CF already has the warm route."
1_providers,Google Cloud (Vertex AI),Veo launch partners get pre-release access and partner quotes in Google Cloud blog posts (Freepik CPO quoted),Get CF quoted in the next Veo/Imagen launch post as Freepik was,,Veo/Imagen partner marketing (title to find),EMEA,,Google Cloud sales plus existing CF relationship,,,2,"cloud.google.com/blog Veo 3/Imagen 4 post accessed 2026-08-28","Freepik precedent shows the template CF should ask for."
1_providers,ByteDance (BytePlus ModelArk),Commercial route to Seedance/Seedream for third parties; CEO names ByteDance as fighting to be first at CF,Day-one Seedance/Seedream point releases in Studio plus co-marketing to CapCut/Dreamina audiences,Hasnain Gilani,Head of Partnerships BytePlus,Singapore,https://www.iconome.com/news/byteplus-x-iconome,Contact sales at ai.byteplus.com,,MEDIUM,1,"docs.byteplus.com ModelArk; iconome.com/news/byteplus-x-iconome accessed 2026-08-28","Charlie Sung (Global Head of Partnership) named in 2023 post; title may be stale."
1_providers,ByteDance (CapCut / Dreamina),Creator-side programs (CapCut Creative Partner Program; Dreamina credits and early access) reach CF-adjacent creators,Cross-promotion: CF craft templates in CapCut; CapCut affiliates promote Studio,,CapCut partnerships (via partners hub),Intl,,capcut.com/partners; affiliate via Impact.com,,,2,"capcut.com/partners; capcut.com/newsroom/capcut-creative-partner-program accessed 2026-08-28",
1_providers,Alibaba Cloud (Model Studio / Wan),CEO names Alibaba as a partner; Wan video models not yet visible on CF API page; Alibaba Cloud has NL presence,Bring Wan into Studio/API day-one; EMEA ecosystem team is Amsterdam-adjacent,,International Ecosystem/Partnerships Alibaba Cloud Intelligence (title to find),EMEA/Amsterdam,,modelstudio.alibabacloud.com; alibabacloud.com/partners,,,2,"alibabacloud.com/help/en/model-studio/use-video-generation accessed 2026-08-28","No named international partnerships person found publicly."
1_providers,OpenAI (Sora),invideo took first-official-Sora-2-partner slot; OpenAI clearly grants launch partnerships,Pitch craft/maker lane for next Sora release; DevDay Exchange EU legs are the touchpoint,,API partnerships / DevRel,US,,devday.openai.com; API partner contact,,,2,"invideo Sora 2 partner coverage accessed 2026-08-28","First-partner claim is MEDIUM (secondary sources)."
1_providers,Runway,Frontier video lab; NOTE Adobe locked preferred-API-partner exclusivity Dec 2025 so access may be tiered,Creative Partners Program entry now; API deal where non-exclusive,,Partnerships (verify Riccardo Ulivi via LinkedIn),US,,runwayml.com/creative-partners-program; runway.com/enterprise,,,3,"news.adobe.com/news/2025/12/adobe-and-runway-partner accessed 2026-08-28","Named people only from ZoomInfo (LOW); verify first."
1_providers,Luma AI,New London EMEA office led by ex-WPP exec explicitly doing international partnerships; Ray family fits video tools,Best single named EMEA target: day-one Ray releases in Studio plus co-marketing,Jason Day,Head of EMEA Luma AI,London,https://lumalabs.ai/news/luma-ai-opens-for-international-business-with-former-wpp-executive-jason-day-leading-new-london-office,Via London office / press release contact route,,HIGH,1,"lumalabs.ai press release Dec 2025; businesswire.com 20251202217704 accessed 2026-08-28","Also hiring BD Exec Agency Partnerships: function is growing."
1_providers,MiniMax (Hailuo),Already partners with creator platforms (Envato Captions fal); Creative Partners Program with early access,Comparable pitch: CF as craft-audience launch surface for Hailuo releases,,International BD (title to find),Singapore/CN,,CPP application via form linked from @Hailuo_AI on X; API portal,API@minimaxi.com,LOW,2,"x.com/Hailuo_AI/status/1846518523247706257; sacra.com/c/minimax accessed 2026-08-28","Email from third-party docs only; verify."
1_providers,Black Forest Labs (FLUX),B2B2C by design (Meta Adobe Canva Snap embed FLUX); Krea co-trained a custom model with them,Co-trained craft/POD-native image model on CF's licensed marketplace data,,Partnerships/GTM (title to find),Freiburg DE,,bfl.ai licensing and API pages,,,1,"bfl.ai/licensing; sacra.com/c/black-forest-labs; krea.ai/blog/flux-krea-open-source-release accessed 2026-08-28","The depth-over-breadth play; EU-based lab close to Amsterdam."
1_providers,Ideogram,Best-in-class text rendering: directly relevant to fonts SVGs and craft text designs,Day-one Ideogram in Studio for text-heavy craft formats plus co-marketing,,Via published partnerships email,US/CA,,developer.ideogram.ai,partnership@ideogram.ai,HIGH,1,"docs.ideogram.ai/plans-and-pricing/ideogram-api accessed 2026-08-28","One of the few published partnership emails in the segment."
1_providers,Recraft,Vector/SVG-native models: the single best model fit for CF's SVG-cutting audience; 4M+ users,SVG generation partnership: Recraft models behind CF's cut-file tools,,Enterprise/BD via contact page,US,,recraft.ai/api; recraft.ai/enterprise; recraft.ai/contact,help@recraft.ai (support),HIGH,1,"recraft.ai pages accessed 2026-08-28","No affiliate program; referral credits only."
1_providers,ElevenLabs,Audio/voice leader with formal partner application route and visible partnerships org,Audio for craft video content and Studio voice tools; partner application,,Startup Partnerships lead (role confirmed unnamed),SF/London,,elevenlabs.io/partner-application,,,3,"elevenlabs.io/partner-application; careers page accessed 2026-08-28",
1_providers,Tripo (VAST),3D generation with 700+ enterprise customers; CF launched AI 3D Print Generator Feb 2026,Power or co-market CF's 3D print pipeline; joint maker challenge,,Partnerships (title to find),CN/Intl,,tripo3d.ai/api; platform.tripo3d.ai,,,2,"tripo3d.ai accessed 2026-08-28; TechBullion CF 3D interview","3D print is a CF-differentiated surface vs Freepik/Higgsfield."
1_providers,Meshy,3D model generation alternative; API behind Pro+ plan,Second source for 3D print generation; benchmark against Tripo,,Sales/enterprise via contact form,US/Intl,,meshy.ai/contact,,,3,"meshy.ai accessed 2026-08-28",
1_providers,Suno,Curated API partner program announced Jul 2026; music for craft/social video,Music generation in Studio for maker videos; expect legal review (UMG/Sony litigation),Jeremy Sirota,Chief Commercial Officer Suno,US,https://www.musicbusinessworldwide.com/suno-hires-ex-atlantic-records-and-youtube-veterans-in-senior-roles/,Curated API partner program (application),,HIGH,3,"digitalmusicnews.com 2026/07/03 Suno API partner program accessed 2026-08-28","Christian Bowne (Head of Music BD) is the second route. Litigation risk noted."
1_providers,fal,Infrastructure of the whole category (2.5M devs; powers Adobe Canva Shopify); also a competitor to CF's API,Decide supplier vs partner vs threat; possible custom-model co-training as Freepik did,,Partnerships/DevRel,US,,fal.ai enterprise contact,,,2,"businesswire.com fal AWS release May 2026; sacra.com/c/fal-ai accessed 2026-08-28","Strategic call needed before outreach."
1_providers,Happy Horse,Already on CF's API (Happy Horse 1.0); relationship exists to deepen,Co-launch next Happy Horse release with a challenge,,Unknown (via existing CF relationship),Unknown,,Via existing CF API relationship,,,3,"platform.creativefabrica.com listing per brief 2026-08-28","Little public info found; ask internally who holds it."
